SIZE_VECTOR,NUM_THREADS,NUM_IFS,AVG5_TIME(s)
1, 1, 0, 0.000000 
1, 1, 1, 0.000000 
1, 1, 2, 0.000000 
1, 1, 3, 0.000000 
1, 1, 4, 0.000000 
1, 1, 5, 0.000000 
1, 1, 6, 0.000000 
1, 1, 7, 0.000001 
1, 1, 8, 0.000001 
1, 1, 9, 0.000001 
1, 1, 10, 0.000001 
1, 2, 0, 0.000001 
1, 2, 1, 0.000001 
1, 2, 2, 0.000001 
1, 2, 3, 0.000001 
1, 2, 4, 0.000001 
1, 2, 5, 0.000001 
1, 2, 6, 0.000001 
1, 2, 7, 0.000002 
1, 2, 8, 0.000001 
1, 2, 9, 0.000001 
1, 2, 10, 0.000003 
1, 4, 0, 0.000002 
1, 4, 1, 0.000002 
1, 4, 2, 0.000002 
1, 4, 3, 0.000002 
1, 4, 4, 0.000002 
1, 4, 5, 0.000003 
1, 4, 6, 0.000003 
1, 4, 7, 0.000003 
1, 4, 8, 0.000002 
1, 4, 9, 0.000003 
1, 4, 10, 0.000005 
1, 8, 0, 0.000003 
1, 8, 1, 0.000003 
1, 8, 2, 0.000005 
1, 8, 3, 0.000003 
1, 8, 4, 0.000003 
1, 8, 5, 0.000003 
1, 8, 6, 0.000003 
1, 8, 7, 0.000003 
1, 8, 8, 0.000003 
1, 8, 9, 0.000003 
1, 8, 10, 0.000004 
1, 16, 0, 0.000067 
1, 16, 1, 0.000063 
1, 16, 2, 0.000065 
1, 16, 3, 0.000064 
1, 16, 4, 0.000068 
1, 16, 5, 0.000066 
1, 16, 6, 0.000064 
1, 16, 7, 0.000065 
1, 16, 8, 0.000063 
1, 16, 9, 0.000063 
1, 16, 10, 0.000064 
1, 32, 0, 0.000134 
1, 32, 1, 0.000131 
1, 32, 2, 0.000124 
1, 32, 3, 0.000126 
1, 32, 4, 0.000130 
1, 32, 5, 0.000130 
1, 32, 6, 0.000130 
1, 32, 7, 0.000126 
1, 32, 8, 0.000137 
1, 32, 9, 0.000130 
1, 32, 10, 0.000128 
1, 64, 0, 0.000261 
1, 64, 1, 0.000261 
1, 64, 2, 0.000259 
1, 64, 3, 0.000259 
1, 64, 4, 0.000262 
1, 64, 5, 0.000260 
1, 64, 6, 0.000262 
1, 64, 7, 0.000263 
1, 64, 8, 0.000247 
1, 64, 9, 0.000249 
1, 64, 10, 0.000253 
1, 128, 0, 0.000533 
1, 128, 1, 0.000519 
1, 128, 2, 0.000521 
1, 128, 3, 0.000520 
1, 128, 4, 0.000523 
1, 128, 5, 0.000517 
1, 128, 6, 0.000519 
1, 128, 7, 0.000520 
1, 128, 8, 0.000502 
1, 128, 9, 0.000494 
1, 128, 10, 0.000521 
1, 256, 0, 0.001044 
1, 256, 1, 0.001046 
1, 256, 2, 0.001036 
1, 256, 3, 0.001084 
1, 256, 4, 0.001026 
1, 256, 5, 0.001041 
1, 256, 6, 0.001059 
1, 256, 7, 0.001041 
